"","Gene","Samples"
"1","ENSMUST00000029076","IonXpress_RNA_042, IonXpress_RNA_041, IonXpress_RNA_032, IonXpress_RNA_030, IonXpress_RNA_027, IonXpress_RNA_026, "
"2","ENSMUST00000031314","IonXpress_RNA_040, IonXpress_RNA_026, "
"3","ENSMUST00000061653","IonXpress_RNA_042, IonXpress_RNA_041, IonXpress_RNA_032, IonXpress_RNA_030, IonXpress_RNA_027, IonXpress_RNA_026, "
"4","ENSMUST00000082402","IonXpress_RNA_044, IonXpress_RNA_043, IonXpress_RNA_042, IonXpress_RNA_041, IonXpress_RNA_040, IonXpress_RNA_039, IonXpress_RNA_038, IonXpress_RNA_037, IonXpress_RNA_036, IonXpress_RNA_035, IonXpress_RNA_034, IonXpress_RNA_033, IonXpress_RNA_032, IonXpress_RNA_031, IonXpress_RNA_030, IonXpress_RNA_029, IonXpress_RNA_028, IonXpress_RNA_027, IonXpress_RNA_026, "
"5","ENSMUST00000082405","IonXpress_RNA_026, "
"6","ENSMUST00000082408","IonXpress_RNA_040, IonXpress_RNA_026, "
"7","ENSMUST00000028239","IonXpress_RNA_042, IonXpress_RNA_041, IonXpress_RNA_030, IonXpress_RNA_027, "
"8","ENSMUST00000038863","IonXpress_RNA_044, IonXpress_RNA_043, IonXpress_RNA_042, IonXpress_RNA_041, IonXpress_RNA_039, IonXpress_RNA_038, IonXpress_RNA_037, IonXpress_RNA_036, IonXpress_RNA_035, IonXpress_RNA_034, IonXpress_RNA_033, IonXpress_RNA_032, IonXpress_RNA_031, IonXpress_RNA_029, IonXpress_RNA_028, IonXpress_RNA_027, "
"9","ENSMUST00000041331","IonXpress_RNA_042, IonXpress_RNA_041, IonXpress_RNA_030, IonXpress_RNA_027, "
"10","ENSMUST00000004456","IonXpress_RNA_044, IonXpress_RNA_043, IonXpress_RNA_038, IonXpress_RNA_037, IonXpress_RNA_036, IonXpress_RNA_035, IonXpress_RNA_034, IonXpress_RNA_033, IonXpress_RNA_032, IonXpress_RNA_031, IonXpress_RNA_029, IonXpress_RNA_028, "
"11","ENSMUST00000022616","IonXpress_RNA_044, IonXpress_RNA_043, IonXpress_RNA_039, IonXpress_RNA_038, IonXpress_RNA_037, IonXpress_RNA_036, IonXpress_RNA_035, IonXpress_RNA_034, IonXpress_RNA_033, IonXpress_RNA_031, IonXpress_RNA_029, IonXpress_RNA_028, "
"12","ENSMUST00000022704","IonXpress_RNA_043, IonXpress_RNA_039, IonXpress_RNA_038, IonXpress_RNA_037, IonXpress_RNA_034, IonXpress_RNA_033, IonXpress_RNA_029, IonXpress_RNA_028, "
"13","ENSMUST00000042235","IonXpress_RNA_036, IonXpress_RNA_028, "
"14","ENSMUST00000022640","IonXpress_RNA_044, IonXpress_RNA_043, IonXpress_RNA_035, IonXpress_RNA_034, IonXpress_RNA_033, IonXpress_RNA_031, IonXpress_RNA_029, "
"15","ENSMUST00000029041","IonXpress_RNA_030, "
"16","ENSMUST00000006523","IonXpress_RNA_044, IonXpress_RNA_038, IonXpress_RNA_037, IonXpress_RNA_036, IonXpress_RNA_035, IonXpress_RNA_032, IonXpress_RNA_031, "
"17","ENSMUST00000028306","IonXpress_RNA_039, "
"18","ENSMUST00000064214","IonXpress_RNA_039, "
"19","ENSMUST00000034588","IonXpress_RNA_040, "
"20","ENSMUST00000174355","IonXpress_RNA_040, "
"21","ENSMUST00000079697","IonXpress_RNA_040, "
